Latitude,Longitude,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
40.812412060300005,-73.90959798989999,3948.0,1921.0,2027.0,73.5,0.7,25.9,0.0,0.0,2191.0,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360.0,83.2,13.4,3.4,0.0,11.8
